0001,02.08.2017,01,10,22,26,41,49,20,VisionL15,
0002,05.08.2017,11,19,24,35,46,47,10,BLISS,L22,
0003,09.08.2017,18,27,28,39,40,47,50,STARL16,
0004,12.08.2017,06,15,24,38,39,44,50,HopeL14,
0005,16.08.2017,13,16,17,23,24,47,40,VisionL13,
0006,19.08.2017,07,08,22,29,44,47,15,Bliss,L17,
0007,23.08.2017,03,14,20,38,39,48,06,VisionL12,
0008,26.08.2017,04,11,14,16,22,46,18,VisionL15,
0009,30.08.2017,08,20,26,27,39,46,43,x,x,
0010,02.09.2017,05,12,26,28,38,43,11,x,x,
0011,06.09.2017,07,19,27,30,48,52,11,HOPEL13,
0012,09.09.2017,09,11,19,23,26,51,08,RNG2RNG,
0013,13.09.2017,01,10,27,35,42,49,44,RNG2RNG,
0014,16.09.2017,16,17,20,27,36,43,31,RNG2RNG,
0015,20.09.2017,12,15,24,27,28,33,09,RNG2RNG,
0016,23.09.2017,01,11,24,30,46,48,50,RNG2RNG,
0017,27.09.2017,06,17,31,45,46,51,13,RNG2RNG,
0018,30.09.2017,18,20,24,25,26,37,41,RNG2RNG,
0019,04.10.2017,15,20,22,26,31,50,17,RNG2RNG,
0020,07.10.2017,10,14,22,34,40,43,33,RNG2RNG,
0021,11.10.2017,05,09,17,21,42,49,16,RNG2RNG,
0022,14.10.2017,02,20,21,44,51,52,42,RNG2RNG,
0023,18.10.2017,16,26,34,38,41,49,08,RNG2RNG,
0024,21.10.2017,09,15,26,31,32,40,10,RNG2RNG,
0025,25.10.2017,06,07,19,24,33,50,13,RNG2RNG,
0026,28.10.2017,11,16,23,39,48,49,06,RNG2RNG,
0027,01.11.2017,08,24,33,38,42,44,52,RNG2RNG,
0028,04.11.2017,02,16,22,32,36,50,28,RNG2RNG,
0029,08.11.2017,11,25,26,38,41,43,44,RNG2RNG,
0030,11.11.2017,01,02,03,21,29,37,23,RNG2RNG,
0031,15.11.2017,02,08,16,28,34,50,46,RNG2RNG,
0032,18.11.2017,17,18,19,24,32,50,38,RNG2RNG,
0033,22.11.2017,11,28,31,44,46,47,26,RNG2RNG,
0034,25.11.2017,12,13,28,32,35,40,06,RNG2RNG,
0035,29.11.2017,11,18,19,25,33,44,06,RNG2RNG,
0036,02.12.2017,12,22,25,31,35,47,06,RNG2RNG,
0037,06.12.2017,15,21,25,38,40,44,27,RNG2RNG,
0038,09.12.2017,02,03,19,29,42,52,01,RNG2RNG,
0039,13.12.2017,10,15,28,30,32,42,24,RNG2RNG,
0040,16.12.2017,07,12,28,33,46,49,18,RNG2RNG,
0041,20.12.2017,07,24,29,30,44,49,50,RNG2RNG,
0042,23.12.2017,02,09,13,17,42,49,43,RNG2RNG,
0043,27.12.2017,09,10,22,36,37,40,11,x,x,
